category,question_example,answer
Leave Policy,"How many casual leaves do I get per year?","Employees are entitled to 12 days of casual leave per calendar year, subject to prior approval from the reporting manager."
Leave Policy,"What is the notice period for resignation?","The standard notice period is 30 days from the date of resignation submission, unless specified otherwise in your offer letter."
Benefits,"Do we have health insurance?","Yes, all full-time employees are covered under the company-provided health insurance plan from the date of joining."
Benefits,"Is there a work-from-home option?","Work-from-home is allowed based on project requirements and manager approval. Hybrid mode is encouraged where possible."
Attendance,"What is the office timing?","The standard office timing is 9:00 AM to 6:00 PM with a 1-hour lunch break. Flexible arrival is allowed between 8:30 AM to 10:00 AM."
Payroll,"When is salary credited?","Salary is credited on or before the 5th working day of every month to your registered bank account."
Probation,"How long is the probation period?","The probation period is 6 months from the date of joining, after which performance is reviewed for confirmation."
Leave Policy,"What happens if I take leave without approval?","Unapproved leave may be marked as Loss of Pay (LOP) and can impact your attendance record and appraisals."
Travel,"Will I get reimbursement for official travel?","Yes, expenses for approved official travel will be reimbursed as per the Travel Policy upon submission of valid bills."
Performance,"How often are appraisals conducted?","Performance appraisals are conducted annually, with mid-year reviews to track progress on goals."
